symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,run_name,run_ts,target_value_usd,target_weight
META,New,1,743.75,Posterior conditioned on 14d sentiment,0,1,0.03149346350304727,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,743.75,0.014625561056186735
MNKD,Keep,0,5.53,Posterior conditioned on 14d sentiment,0,0,0.17369417184491165,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
PFE,New,42,23.76,Posterior conditioned on 14d sentiment,0,42,0.04710647429330983,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,997.9200000000001,0.01962371749807041
PFGC,Keep,0,104.3,Posterior conditioned on 14d sentiment,0,0,0.03658655268842592,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
PMTS,New,64,15.44,Posterior conditioned on 14d sentiment,0,64,0.21290191851150198,0.08923019734868168,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,988.16,0.019431790807773422
PRCT,Keep,0,36.66,Posterior conditioned on 14d sentiment,55,55,0.14280896824146683,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,2016.2999999999997,0.03964977311944781
PRU,Increase,9,104.41,Posterior conditioned on 14d sentiment,20,29,0.029891916395751172,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,3027.89,0.05954230597165345
QUAD,Increase,152,6.55,Posterior conditioned on 14d sentiment,155,307,0.0854305390197796,0.06702263271434025,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,2010.85,0.03954260094095206
RARE,New,34,29.08,Posterior conditioned on 14d sentiment,0,34,0.25,0.11239938824039812,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,988.7199999999999,0.01944280299492161
RCI,Keep,0,35.66,Posterior conditioned on 14d sentiment,28,28,0.02301622686624305,0.049315818515339796,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,998.4799999999999,0.019634729685218594
RCKT,Keep,0,3.26,Posterior conditioned on 14d sentiment,0,0,0.25,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
SPNT,New,54,18.32,Posterior conditioned on 14d sentiment,0,54,0.09622928607303227,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,989.28,0.0194538151820698
SPRY,Keep,0,9.8,Posterior conditioned on 14d sentiment,0,0,0.25,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
SSTK,Keep,0,21.05,Posterior conditioned on 14d sentiment,0,0,0.06289037551380705,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
STZ,Keep,0,132.49,Posterior conditioned on 14d sentiment,0,0,0.07854286463478588,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
TBLA,New,284,3.51,Posterior conditioned on 14d sentiment,0,284,0.04455227307203824,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,996.8399999999999,0.01960247970857033
TCOM,Keep,0,75.92,Posterior conditioned on 14d sentiment,0,0,0.017127529148562415,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
TEAD,Keep,0,1.69,Posterior conditioned on 14d sentiment,0,0,0.15111741420444003,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
TNC,New,12,80.57,Posterior conditioned on 14d sentiment,0,12,0.08205593108514342,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,966.8399999999999,0.019012541111345992
TRVG,Keep,0,3.45,Posterior conditioned on 14d sentiment,0,0,0.054486509945882,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
TSLA,Keep,0,440.4,Posterior conditioned on 14d sentiment,0,0,-0.0633444629359825,0.08836227551919075,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
XPO,New,7,126.05,Posterior conditioned on 14d sentiment,0,7,0.014925887489932732,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,882.35,0.01735107737536318
ZBH,Keep,0,98.24,Posterior conditioned on 14d sentiment,0,0,0.02134808599622473,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
ZM,Keep,0,84.51,Posterior conditioned on 14d sentiment,0,0,0.025273671137827858,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
ZTS,New,6,143.5,Posterior conditioned on 14d sentiment,0,6,0.07068127685089265,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,861.0,0.016931237740338525
