symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,run_name,run_ts,target_value_usd,target_weight
BIIB,Keep,0,137.37,"PE_ttm 8.8 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 11.36%; RSI14: 52.0; MACD hist: -0.388; mean=0.15, 30d imbalance=0.00 (pos=0, neg=0); implied=20.88%, rating balance=0.41 (SB=3,B=12,H=18,S=1,SS=0); regime=Mixed, beta_1y=0.60 -> score=0.16",0,0,0.04854901216401575,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
BILL,Keep,0,54.18,"PE_ttm 33.2 vs med 16.5; ROA -0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: 17.89%; RSI14: 71.9; MACD hist: 0.258; mean=0.24, 30d imbalance=0.00 (pos=0, neg=0); implied=10.43%, rating balance=0.50 (SB=3,B=9,H=12,S=0,SS=0); regime=Mixed, beta_1y=1.71 -> score=-0.29",0,0,0.025123784589262677,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
BMRN,New,18,53.85,"PE_ttm 13.4 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -1.37%; RSI14: 31.6; MACD hist: -0.190; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=79.07%, rating balance=0.78 (SB=4,B=17,H=6,S=0,SS=0); regime=Mixed, beta_1y=0.71 -> score=0.12",0,18,0.15679207848923915,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,969.3000000000001,0.009909420758421859
BRZE,Keep,0,31.58,"ROA -0.1% vs med 0.0%; ROE -0.2% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: 21.96%; RSI14: 72.7; MACD hist: 0.285; mean=0.21, 30d imbalance=0.00 (pos=0, neg=0); implied=38.16%, rating balance=1.00 (SB=7,B=12,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.39 -> score=-0.15",0,0,0.08417006140169514,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
BTM,Keep,0,3.54,"ROA 0.3% vs med 0.0%; ROE 0.7% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: -33.15%; RSI14: 51.0; MACD hist: 0.046; mean=0.12, 30d imbalance=0.00 (pos=0, neg=0); implied=103.31%, rating balance=1.00 (SB=1,B=3,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.77 -> score=0.09",0,0,0.19409102521001387,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
BWMX,Keep,0,12.82,"PE_ttm 3.0 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.4% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 56.32%; RSI14: 49.1; MACD hist: -0.105; mean=0.18, 30d imbalance=0.00 (pos=0, neg=0); implied=42.70%, rating balance=1.00 (SB=0,B=1,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.56 -> score=0.17",80,80,0.0929578875073247,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,1025.6,0.010484991158400347
CAL,Keep,0,13.65,"PE_ttm 6.7 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 13.52%; RSI14: 45.7; MACD hist: -0.144; mean=0.16, 30d imbalance=0.00 (pos=0, neg=0); implied=33.15%, rating balance=0.50 (SB=0,B=1,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.33 -> score=-0.13",0,0,0.0741932201331188,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CBZ,Keep,0,52.59,"PE_ttm 13.9 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -24.80%; RSI14: 24.0; MACD hist: -0.260; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=76.61%, rating balance=1.00 (SB=1,B=2,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.72 -> score=0.11",0,0,0.15280410757859264,0.11655789332660466,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CCJ,Keep,0,85.58,"PE_ttm 60.0 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 19.31%; RSI14: 68.6; MACD hist: 0.800; mean=0.23, 30d imbalance=0.00 (pos=0, neg=0); implied=1.88%, rating balance=0.94 (SB=7,B=9,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.15 -> score=-0.06",0,0,0.004659717163861599,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CDE,Keep,0,18.44,"PE_ttm 36.5 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 100.34%; RSI14: 81.2; MACD hist: 0.187; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=-23.67%, rating balance=1.00 (SB=4,B=5,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.20 -> score=-0.08",0,0,-0.0652995442358747,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
